"Gene","baseMean","log2FC","lfcSE","stat","PValue","FDR","log2FCabs"
"malE",3479.05821490938,-3.65113924028465,0.559424366387978,-6.52660030498649,6.7279267352183e-11,4.06976812344624e-09,3.65113924028465
"malF",572.985227787653,-2.69814061385264,0.485617106297859,-5.55610702106878,2.75857774536532e-08,1.13393460206122e-06,2.69814061385264
"malG",526.539361570267,-2.90374792351597,0.38597841132189,-7.5230837744818,5.34991191533478e-14,6.18131714542059e-12,2.90374792351597
"malI",502.49306238771,-1.17919440016655,0.226965550069287,-5.19547746257779,2.04195074294695e-07,7.52529260870536e-06,1.17919440016655
"malK",528.431774513567,-3.37950345558441,0.560634864366731,-6.02799374491588,1.66007473951167e-09,7.97395450720495e-08,3.37950345558441
"malM",1094.33295044433,-2.393397684234,0.422132464622648,-5.66977876570925,1.42982029616013e-08,5.99262918243583e-07,2.393397684234
"malT",6468.40823833601,-1.56929060639792,0.44487037434756,-3.52752328967604,0.000419466857868155,0.00656857442266068,1.56929060639792
"mcbR",411.423140903234,-1.3032570543192,0.369648188011891,-3.52566872119301,0.000422415008053545,0.00659059912200331,1.3032570543192
"melA",320.628718682932,-1.61016925152483,0.415371298710464,-3.87645765733853,0.000105988244287086,0.002127228846607,1.61016925152483
"melR",520.228138570422,-2.44782323871744,0.545743729053741,-4.48529796753083,7.28121099021774e-06,0.000192143067797413,2.44782323871744
"mepM",13042.0031772536,3.34160077755425,0.776027433406231,4.30603434067646,1.66207265768604e-05,0.000399177562449878,3.34160077755425
"metA",2819.9819915206,1.79446239152129,0.449443580054191,3.99263104682667,6.53441991877552e-05,0.00136266561720807,1.79446239152129
"metB",656.894998092797,1.2607051173192,0.362026233016468,3.48235846561389,0.000497017878018219,0.00761559651802109,1.2607051173192
"metE",46699.0998014194,3.02455795550076,0.790787732844268,3.82474060974893,0.000130909842103046,0.00257898421654618,3.02455795550076
"metF",4308.66726188325,2.29129341288332,0.620074800407136,3.69518872784199,0.000219723516746898,0.00391535703239353,2.29129341288332
"metI",1372.26563679828,1.16386985749674,0.400731289233259,2.90436481694163,0.0036799908279895,0.0409640142000555,1.16386985749674
"metK",12049.8012751913,1.72297640645782,0.411870732548403,4.18329410248964,2.87315308634629e-05,0.000660361798071526,1.72297640645782
"metL",1505.9554576919,1.0094628583156,0.342283385293388,2.94920204043893,0.00318595620026985,0.0363199006830763,1.0094628583156
"metN",1960.78238176702,1.27105073668323,0.234815472565401,5.41297693374621,6.19854777675023e-08,2.45359182829697e-06,1.27105073668323
"mglA",594.719455800054,-5.05025286858178,0.62201438277567,-8.11918985867431,4.6930585429292e-16,6.47187911968462e-14,5.05025286858178
"mglB",1871.50353199941,-5.41839612902994,0.642573536939823,-8.43233625031368,3.38831730330283e-17,5.36483573022948e-15,5.41839612902994
"mglC",321.138140617108,-3.93839649007334,0.54054475319677,-7.28597672400249,3.1934811378025e-13,3.32978825953797e-11,3.93839649007334
"mocA",346.621475021518,-2.42944130263534,0.357422957180332,-6.79710481330276,1.06742442546678e-11,8.18063369292049e-10,2.42944130263534
"mokB",204.788898289561,-2.10413001039003,0.437830848244834,-4.80580575540763,1.54129488644045e-06,4.74031340973593e-05,2.10413001039003
"mtfA",2858.70219449531,-2.31617548777647,0.326809280965711,-7.08723901883155,1.36813975784089e-12,1.2713712047227e-10,2.31617548777647
"mtlA",1529.14465790836,-1.35528520078272,0.442495833903498,-3.06282025036713,0.00219261721422366,0.026781253116589,1.35528520078272
"mtr",1451.28468804921,3.30567794357288,0.810349548775871,4.07932348276926,4.51669505511489e-05,0.000955884720822581,3.30567794357288
"murP",420.115089191834,-1.86470068245129,0.43706342157084,-4.26643043187968,1.98625393124684e-05,0.000474370701456996,1.86470068245129
"murQ",437.429913515905,-2.97455141970383,0.509769464134292,-5.83509140696632,5.3761086079012e-09,2.394048364456e-07,2.97455141970383
"murR",180.775943689044,-1.47253021312808,0.475869487030827,-3.0943993117018,0.00197211861475577,0.0246514826844471,1.47253021312808
"nagE",2887.44834369262,-2.17876041590936,0.357999266944768,-6.08593541127416,1.15813126629406e-09,5.62614904932626e-08,2.17876041590936
"nanA",191.148423977324,-1.47867325583176,0.321157679517526,-4.60419709736713,4.14060183377041e-06,0.000116880678123615,1.47867325583176
"nanE",57.6595373663216,-1.5315714550957,0.526116524451859,-2.91108791287517,0.00360172661782118,0.0403072808669779,1.5315714550957
"nanM",476.69269085601,-1.10200496876526,0.378752699511562,-2.90956333825844,0.00361934041380449,0.0403986430000371,1.10200496876526
"nanS",185.841718247217,-1.18651590105852,0.36505611441627,-3.25022881196162,0.00115312188902123,0.0157495082286446,1.18651590105852
"narI",462.768311077343,2.28876194221266,0.790027417464794,2.89706647087935,0.00376669937961104,0.0415050311952585,2.28876194221266
"narJ",361.033245476482,2.22977893319791,0.775990975573809,2.87345987696455,0.00406002645308729,0.0438298310276469,2.22977893319791
"nemR",158.597353633694,-1.56709788316402,0.526855850873858,-2.97443386187092,0.00293529724967168,0.0346530221565125,1.56709788316402
"nikA",528.753004790067,-3.90357604561902,0.328528242304709,-11.8820105639456,1.46793516840876e-32,5.70492985904315e-30,3.90357604561902
"nikB",140.770634882153,-3.59953574978277,0.475603158120603,-7.56835964674146,3.77966381778049e-14,4.61658937743188e-12,3.59953574978277
